Order_ID,Supplier_Name,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Cost_of_Goods_Sold,Avg_Inventory_Value,Items_Ordered,Items_Damaged
ORD-100000,BetaLogistics Ltd.,08-04-2022,15-04-2022,28-04-2022,246344.36,94808.75,288,14
ORD-100001,GammaGoods Inc.,27-04-2024,06-05-2024,04-05-2024,211845.63,105941.41,916,9
ORD-100002,EtaDistrib.,18-12-2023,26-12-2023,07-01-2024,104865.89,22930.32,217,3
ORD-100003,AlphaSupply Co.,26-04-2023,01-05-2023,12-05-2023,219590.95,92578.52,174,13
ORD-100004,ZetaFreight LLC,20-04-2023,25-04-2023,06-05-2023,111268.97,34918.32,601,24
ORD-100005,ZetaFreight LLC,29-07-2024,04-08-2024,04-08-2024,32922.17,14201.49,596,9
ORD-100006,DeltaCargo Pvt.,05-04-2022,16-04-2022,28-04-2022,139292.18,16165.29,583,37
ORD-100007,BetaLogistics Ltd.,03-02-2024,15-02-2024,23-02-2024,229358.1,58824.96,190,7
ORD-100008,ThetaTrade GmbH,09-08-2022,12-08-2022,16-08-2022,197211.88,50025.51,524,27
ORD-100009,EpsilonEx Corp.,14-04-2022,02-05-2022,11-05-2022,103472.16,32007.73,933,22
ORD-100010,ZetaFreight LLC,31-07-2023,15-08-2023,18-08-2023,214442.24,33725.12,135,1
ORD-100011,ThetaTrade GmbH,04-12-2024,08-12-2024,10-12-2024,118724.71,37791.2,808,11
ORD-100012,AlphaSupply Co.,16-03-2024,03-04-2024,05-04-2024,172720.81,64036.09,169,13
ORD-100013,ThetaTrade GmbH,13-04-2024,16-04-2024,23-04-2024,86618.12,9816.38,272,14
ORD-100014,AlphaSupply Co.,25-02-2024,09-03-2024,17-03-2024,52704.93,13200.35,904,60
ORD-100015,ZetaFreight LLC,10-05-2024,21-05-2024,23-05-2024,81800.25,15431.26,333,1
ORD-100016,AlphaSupply Co.,16-07-2023,28-07-2023,30-07-2023,219415.09,128595.09,546,33
ORD-100017,AlphaSupply Co.,21-05-2022,10-06-2022,24-06-2022,247493.89,40863.25,412,16
ORD-100018,EpsilonEx Corp.,08-07-2024,27-07-2024,02-08-2024,69659.62,28818.72,634,34
ORD-100019,ZetaFreight LLC,09-05-2023,17-05-2023,29-05-2023,45514.04,13696.38,435,12
ORD-100020,DeltaCargo Pvt.,02-07-2023,15-07-2023,18-07-2023,22415.27,5461.83,472,23
ORD-100021,GammaGoods Inc.,11-02-2023,03-03-2023,05-03-2023,189685.79,99971.59,827,2
ORD-100022,BetaLogistics Ltd.,19-07-2022,04-08-2022,06-08-2022,134360.06,58049.4,576,2
ORD-100023,ZetaFreight LLC,11-10-2024,29-10-2024,04-11-2024,141244.55,57931.59,586,37
ORD-100024,EpsilonEx Corp.,05-05-2024,15-05-2024,26-05-2024,16075.56,2360.36,816,8
ORD-100025,KappaKargo BV,07-12-2023,15-12-2023,21-12-2023,24858.96,5704.75,456,1
ORD-100026,EpsilonEx Corp.,17-03-2023,29-03-2023,01-04-2023,229082.63,54578.05,833,61
ORD-100027,ZetaFreight LLC,19-06-2024,06-07-2024,20-07-2024,146299.05,46404.58,734,16
ORD-100028,KappaKargo BV,21-08-2023,09-09-2023,16-09-2023,58705.64,32918.25,890,41
ORD-100029,KappaKargo BV,01-05-2023,16-05-2023,20-05-2023,55828.02,16850.37,485,33
ORD-100030,EpsilonEx Corp.,09-05-2023,24-05-2023,22-05-2023,64021.28,16902.29,581,35
ORD-100031,GammaGoods Inc.,06-09-2022,18-09-2022,25-09-2022,20620.68,2793.45,171,1
ORD-100032,DeltaCargo Pvt.,11-04-2022,19-04-2022,27-04-2022,17192,5028.3,155,7
ORD-100033,GammaGoods Inc.,31-08-2023,10-09-2023,23-09-2023,181396.41,22888.38,152,7
ORD-100034,EpsilonEx Corp.,30-08-2024,10-09-2024,11-09-2024,69620.42,19674.89,651,18
ORD-100035,BetaLogistics Ltd.,11-03-2022,28-03-2022,28-03-2022,99193.92,57918.56,359,22
ORD-100036,EpsilonEx Corp.,28-07-2024,09-08-2024,23-08-2024,136653.92,51659.33,324,25
ORD-100037,AlphaSupply Co.,25-06-2024,12-07-2024,19-07-2024,83415.7,17053.11,623,7
ORD-100038,KappaKargo BV,31-10-2022,03-11-2022,01-11-2022,122302.67,30527.96,428,5
ORD-100039,AlphaSupply Co.,23-11-2023,09-12-2023,08-12-2023,216927.61,83636.44,178,10
ORD-100040,IotaImports SA,30-06-2022,12-07-2022,18-07-2022,64804.37,7105.33,580,21
ORD-100041,KappaKargo BV,10-04-2024,30-04-2024,08-05-2024,198858.62,109329.6,573,36
ORD-100042,KappaKargo BV,07-02-2024,18-02-2024,20-02-2024,69667.42,27105.44,182,2
ORD-100043,EpsilonEx Corp.,24-01-2023,04-02-2023,08-02-2023,50802.16,17584.76,306,1
ORD-100044,ThetaTrade GmbH,16-03-2022,21-03-2022,31-03-2022,22801.39,10445.7,275,15
ORD-100045,KappaKargo BV,28-11-2024,15-12-2024,29-12-2024,172629.37,34548.41,711,57
ORD-100046,IotaImports SA,04-05-2023,19-05-2023,25-05-2023,105850.28,11730.51,286,2
ORD-100047,IotaImports SA,04-09-2024,22-09-2024,27-09-2024,193754.59,78976.48,76,5
ORD-100048,EpsilonEx Corp.,13-01-2024,17-01-2024,21-01-2024,37504.43,6750.84,303,9
ORD-100049,ThetaTrade GmbH,02-05-2024,08-05-2024,08-05-2024,152820.89,16217.35,496,1
ORD-100050,GammaGoods Inc.,12-04-2024,30-04-2024,28-04-2024,8181.83,4618.3,781,32
ORD-100051,KappaKargo BV,02-08-2022,05-08-2022,17-08-2022,62288.35,30783.49,99,2
ORD-100052,EpsilonEx Corp.,03-02-2023,15-02-2023,13-02-2023,154363.56,24250.6,888,49
ORD-100053,GammaGoods Inc.,27-05-2023,06-06-2023,17-06-2023,18729.48,10267.04,364,8
ORD-100054,GammaGoods Inc.,30-06-2023,19-07-2023,21-07-2023,97421.04,13033.66,375,14
ORD-100055,IotaImports SA,17-02-2022,07-03-2022,16-03-2022,142607.39,71516.88,64,1
ORD-100056,BetaLogistics Ltd.,22-08-2023,10-09-2023,24-09-2023,183258.71,56303.63,312,21
ORD-100057,EtaDistrib.,18-06-2022,26-06-2022,06-07-2022,177885.73,63877.08,496,37
ORD-100058,GammaGoods Inc.,24-03-2024,06-04-2024,16-04-2024,41304.25,17932.83,645,21
ORD-100059,ZetaFreight LLC,18-01-2024,02-02-2024,04-02-2024,23416.74,3498.01,779,28
ORD-100060,ZetaFreight LLC,07-10-2024,27-10-2024,04-11-2024,97207.81,53841.29,547,43
ORD-100061,EtaDistrib.,26-03-2024,29-03-2024,06-04-2024,63997.48,10996.08,145,2
ORD-100062,GammaGoods Inc.,06-02-2023,26-02-2023,03-03-2023,79894.39,45603.09,422,27
ORD-100063,KappaKargo BV,25-11-2024,04-12-2024,02-12-2024,88908.74,12957.69,749,34
ORD-100064,IotaImports SA,26-03-2023,31-03-2023,13-04-2023,102308.56,19029.82,658,46
ORD-100065,KappaKargo BV,23-12-2022,06-01-2023,07-01-2023,132057.1,17006.03,605,14
